time 	 iteration 	 error 

450007.26	 1	 2.505922248e-05
450007.26	 2	 4.632354618e-06
450007.26	 3	 1.371980748e-05
450014.52	 1	 2.063656805e-05
450014.52	 2	 8.022394751e-06
450014.52	 3	 1.144457931e-05
450021.81	 1	 1.656004514e-05
450021.81	 2	 1.505786824e-05
450021.81	 3	 1.526216661e-05
450029.1	 1	 2.277830977e-05
450029.1	 2	 2.32795427e-05
450029.1	 3	 2.348519145e-05
450036.41	 1	 3.175844338e-05
450036.41	 2	 3.219424408e-05
450036.41	 3	 3.240242579e-05
450043.73	 1	 4.103388733e-05
450043.73	 2	 4.140615319e-05
450043.73	 3	 4.161390732e-05
450051.07	 1	 5.031233059e-05
450051.07	 2	 5.062730884e-05
450051.07	 3	 5.083091243e-05
450058.42	 1	 5.937776984e-05
450058.42	 2	 5.964233955e-05
450058.42	 3	 5.983757469e-05
450065.78	 1	 6.809639732e-05
450065.78	 2	 6.83185549e-05
450065.78	 3	 6.850237279e-05
450073.16	 1	 7.637981986e-05
450073.16	 2	 7.656651642e-05
450073.16	 3	 7.673650343e-05
450080.55	 1	 8.419151546e-05
450080.55	 2	 8.434948464e-05
450080.55	 3	 8.450466566e-05
450087.95	 1	 9.151433356e-05
450087.95	 2	 9.164879592e-05
450087.95	 3	 9.178869435e-05
450095.37	 1	 9.835935406e-05
450095.37	 2	 9.847492095e-05
450095.37	 3	 9.859987842e-05
450102.8	 1	 0.0001047413225
450102.8	 2	 0.000104841534
450102.8	 3	 0.0001049522545
450110.25	 1	 0.0001106912757
450110.25	 2	 0.0001107791502
450110.25	 3	 0.0001108770827
450117.71	 1	 0.0001162356207
450117.71	 2	 0.0001163131797
450117.71	 3	 0.0001163997594
450125.18	 1	 0.0001214085715
450125.18	 2	 0.000121477545
450125.18	 3	 0.0001215544274
450132.67	 1	 0.0001262361245
450132.67	 2	 0.000126297638
450132.67	 3	 0.0001263662477
450140.17	 1	 0.0001307487787
450140.17	 2	 0.0001308038574
450140.17	 3	 0.0001308656259
450147.69	 1	 0.0001349683612
450147.69	 2	 0.0001350176664
450147.69	 3	 0.0001350737162
450155.21	 1	 0.0001389173536
450155.21	 2	 0.0001389615021
450155.21	 3	 0.000139012831
450162.76	 1	 0.0001426185382
450162.76	 2	 0.0001426581295
450162.76	 3	 0.0001427055943
450170.31	 1	 0.0001460873837
450170.31	 2	 0.000146122813
450170.31	 3	 0.0001461669828
450177.88	 1	 0.0001493401982
450177.88	 2	 0.0001493719058
450177.88	 3	 0.0001494132618
450185.46	 1	 0.0001523940838
450185.46	 2	 0.0001524225244
450185.46	 3	 0.0001524614605
450193.06	 1	 0.0001552605279
450193.06	 2	 0.0001552860449
450193.06	 3	 0.0001553227812
450200.67	 1	 0.000157952282
450200.67	 2	 0.0001579752431
450200.67	 3	 0.0001580099762
450208.29	 1	 0.0001604831463
450208.29	 2	 0.0001605039176
450208.29	 3	 0.000160536827
450215.93	 1	 0.0001628625003
450215.93	 2	 0.0001628813589
450215.93	 3	 0.0001629125277
450223.58	 1	 0.00016510098
450223.58	 2	 0.0001651182
450223.58	 3	 0.0001651477337
450231.23	 1	 0.0001672056925
450231.23	 2	 0.0001672214688
450231.23	 3	 0.0001672494154
450238.88	 1	 0.0001691851611
450238.88	 2	 0.000169199685
450238.88	 3	 0.0001692261292
450246.51	 1	 0.0001710476368
450246.51	 2	 0.0001710610732
450246.51	 3	 0.0001710861013
450254.13	 1	 0.0001728034809
450254.13	 2	 0.0001728160017
450254.13	 3	 0.0001728397487
450261.75	 1	 0.0001744609636
450261.75	 2	 0.0001744726916
450261.75	 3	 0.0001744952637
450269.36	 1	 0.0001760265336
450269.36	 2	 0.0001760375482
450269.36	 3	 0.0001760590328
450276.96	 1	 0.0001775083275
450276.96	 2	 0.0001775187302
450276.96	 3	 0.0001775392438
450284.55	 1	 0.0001789117031
450284.55	 2	 0.000178921542
450284.55	 3	 0.0001789411591
450292.14	 1	 0.0001802434939
450292.14	 2	 0.0001802528366
450292.14	 3	 0.0001802716613
450299.71	 1	 0.0001815080631
450299.71	 2	 0.0001815169388
450299.71	 3	 0.0001815350293
450307.28	 1	 0.0001827111323
450307.28	 2	 0.0001827195913
450307.28	 3	 0.0001827370316
450314.84	 1	 0.0001838570536
450314.84	 2	 0.0001838651271
450314.84	 3	 0.0001838819742
450322.39	 1	 0.0001849489831
450322.39	 2	 0.0001849566879
450322.39	 3	 0.0001849729759
450329.93	 1	 0.0001859913475
450329.93	 2	 0.0001859987223
450329.93	 3	 0.0001860145086
450337.46	 1	 0.0001869867485
450337.46	 2	 0.0001869938052
450337.46	 3	 0.0001870091117
450344.99	 1	 0.0001879389592
450344.99	 2	 0.0001879457337
450344.99	 3	 0.0001879606041
450352.51	 1	 0.000188850784
450352.51	 2	 0.0001888572978
450352.51	 3	 0.0001888717573
450360.01	 1	 0.0001897241597
450360.01	 2	 0.0001897304236
450360.01	 3	 0.0001897444823
450367.51	 1	 0.0001905621198
450367.51	 2	 0.0001905681615
450367.51	 3	 0.0001905818527
450375.01	 1	 0.0001913668812
450375.01	 2	 0.0001913727167
450375.01	 3	 0.0001913860583
450382.5	 1	 0.0001921399241
450382.5	 2	 0.0001921455597
450382.5	 3	 0.0001921585589
450389.97	 1	 0.0001928837284
450389.97	 2	 0.000192889188
450389.97	 3	 0.0001929018675
450397.45	 1	 0.0001936000521
450397.45	 2	 0.0001936053464
450397.45	 3	 0.0001936177236
450404.91	 1	 0.0001942900298
450404.91	 2	 0.0001942951617
450404.91	 3	 0.0001943072377
450412.36	 1	 0.0001949557043
450412.36	 2	 0.0001949606924
450412.36	 3	 0.0001949724958
450419.81	 1	 0.000195598483
450419.81	 2	 0.0001956033301
450419.81	 3	 0.0001956148672
450427.25	 1	 0.0001962191868
450427.25	 2	 0.0001962238943
450427.25	 3	 0.0001962351595
450434.68	 1	 0.0001968194816
450434.68	 2	 0.0001968240667
450434.68	 3	 0.000196835082
450442.11	 1	 0.0001974046147
450442.11	 2	 0.0001974090845
450442.11	 3	 0.0001974195989
450449.52	 1	 0.0001979726404
450449.52	 2	 0.0001979769907
450449.52	 3	 0.0001979872706
450456.93	 1	 0.0001985233773
450456.93	 2	 0.0001985276191
450456.93	 3	 0.0001985376836
450464.34	 1	 0.0001990577376
450464.34	 2	 0.000199061874
450464.34	 3	 0.0001990717329
450471.73	 1	 0.0001995761803
450471.73	 2	 0.0001995802096
450471.73	 3	 0.0001995898581
450479.12	 1	 0.0002000798512
450479.12	 2	 0.0002000837833
450479.12	 3	 0.0002000932394
450486.5	 1	 0.0002005694902
450486.5	 2	 0.0002005733296
450486.5	 3	 0.0002005825963
450493.87	 1	 0.0002010457666
450493.87	 2	 0.0002010495149
450493.87	 3	 0.0002010585998
450501.23	 1	 0.0002015089735
450501.23	 2	 0.0002015126288
450501.23	 3	 0.0002015215276
450508.59	 1	 0.0002019600345
450508.59	 2	 0.0002019636055
450508.59	 3	 0.0002019723319
450515.94	 1	 0.000202399509
450515.94	 2	 0.0002024029978
450515.94	 3	 0.0002024115562
450523.29	 1	 0.0002028279063
450523.29	 2	 0.0002028313165
450523.29	 3	 0.0002028397111
450530.63	 1	 0.0002032454079
450530.63	 2	 0.0002032487371
450530.63	 3	 0.0002032569647
450537.95	 1	 0.0002036527712
450537.95	 2	 0.0002036560269
450537.95	 3	 0.0002036640999
450545.28	 1	 0.0002040504321
450545.28	 2	 0.000204053616
450545.28	 3	 0.0002040615385
450552.59	 1	 0.0002044385064
450552.59	 2	 0.0002044416158
450552.59	 3	 0.0002044493847
450559.9	 1	 0.0002048176468
450559.9	 2	 0.0002048206882
450559.9	 3	 0.0002048283141
450567.2	 1	 0.0002051882113
450567.2	 2	 0.0002051911866
450567.2	 3	 0.000205198673
450574.49	 1	 0.0002055502644
450574.49	 2	 0.0002055531717
450574.49	 3	 0.0002055605153
450581.77	 1	 0.0002059043778
450581.77	 2	 0.0002059072228
450581.77	 3	 0.0002059144334
450589.05	 1	 0.0002062508489
450589.05	 2	 0.0002062536325
450589.05	 3	 0.0002062607126
450596.32	 1	 0.0002065899509
450596.32	 2	 0.0002065926761
450596.32	 3	 0.0002065996294
450603.58	 1	 0.0002069217082
450603.58	 2	 0.0002069243723
450603.58	 3	 0.0002069311959
450610.84	 1	 0.0002072466065
450610.84	 2	 0.0002072492146
450610.84	 3	 0.0002072559181
450618.09	 1	 0.0002075648855
450618.09	 2	 0.0002075674388
450618.09	 3	 0.000207574025
450625.34	 1	 0.0002078767618
450625.34	 2	 0.0002078792616
450625.34	 3	 0.0002078857334
450632.57	 1	 0.0002081822201
450632.57	 2	 0.0002081846634
450632.57	 3	 0.0002081910181
