0 0 	0 	0 	
0.020202 0.342214 	-2.18579e-08 	-0.000534282 	
0.040404 0.684428 	-4.37513e-08 	-0.00106856 	
0.0606061 0.907011 	-6.40259e-08 	-0.000997312 	
0.0808081 1.02136 	-8.28909e-08 	-0.000378195 	
0.10101 1.13191 	-1.01342e-07 	0.000211335 	
0.121212 1.17038 	-1.12428e-07 	0.0002387 	
0.141414 1.20885 	-1.23513e-07 	0.000266066 	
0.161616 1.23278 	-1.30462e-07 	0.000227134 	
0.181818 1.24596 	-1.34378e-07 	0.000139199 	
0.20202 1.2583 	-1.37806e-07 	5.76866e-05 	
0.222222 1.26305 	-1.36874e-07 	3.3974e-05 	
0.242424 1.26779 	-1.35942e-07 	1.02614e-05 	
0.262626 1.27076 	-1.34553e-07 	-2.14328e-07 	
0.282828 1.27267 	-1.32884e-07 	-2.74794e-06 	
0.30303 1.27443 	-1.31278e-07 	-5.12363e-06 	
0.323232 1.27537 	-1.29967e-07 	-6.60426e-06 	
0.343434 1.27631 	-1.28656e-07 	-8.08488e-06 	
0.363636 1.27701 	-1.27473e-07 	-9.13712e-06 	
0.383838 1.2776 	-1.26336e-07 	-9.98306e-06 	
0.40404 1.27816 	-1.25171e-07 	-1.06955e-05 	
0.424242 1.27861 	-1.23827e-07 	-1.08739e-05 	
0.444444 1.27905 	-1.22483e-07 	-1.10522e-05 	
0.464646 1.27945 	-1.20307e-07 	-1.10491e-05 	
0.484848 1.27982 	-1.17799e-07 	-1.09772e-05 	
0.505051 1.28018 	-1.1487e-07 	-1.08789e-05 	
0.525253 1.28051 	-1.10624e-07 	-1.07015e-05 	
0.545455 1.28084 	-1.06378e-07 	-1.05242e-05 	
0.565657 1.28113 	-1.01089e-07 	-1.02808e-05 	
0.585859 1.28142 	-9.54783e-08 	-1.00182e-05 	
0.606061 1.2817 	-8.95452e-08 	-9.73318e-06 	
0.626263 1.28195 	-8.28015e-08 	-9.39581e-06 	
0.646465 1.2822 	-7.60577e-08 	-9.05844e-06 	
0.666667 1.28242 	-6.86557e-08 	-8.67034e-06 	
0.686869 1.28263 	-6.10909e-08 	-8.2715e-06 	
0.707071 1.28284 	-5.35454e-08 	-7.85422e-06 	
0.727273 1.28302 	-4.59867e-08 	-7.40277e-06 	
0.747475 1.2832 	-3.84281e-08 	-6.95132e-06 	
0.767677 1.28335 	-3.1605e-08 	-6.4586e-06 	
0.787879 1.2835 	-2.48714e-08 	-5.96002e-06 	
0.808081 1.28363 	-1.83748e-08 	-5.44585e-06 	
0.828283 1.28375 	-1.22077e-08 	-4.90835e-06 	
0.848485 1.28386 	-6.04067e-09 	-4.37086e-06 	
0.868687 1.28394 	6.21646e-10 	-3.80754e-06 	
0.888889 1.28403 	7.33291e-09 	-3.24214e-06 	
0.909091 1.28409 	1.43798e-08 	-2.66892e-06 	
0.929293 1.28414 	2.18529e-08 	-2.0862e-06 	
0.949495 1.28419 	2.93259e-08 	-1.50347e-06 	
0.969697 1.28421 	3.65761e-08 	-9.12065e-07 	
0.989899 1.28422 	4.38275e-08 	-3.20466e-07 	
1.0101 1.28422 	5.047e-08 	2.71433e-07 	
1.0303 1.28421 	5.65157e-08 	8.63567e-07 	
1.05051 1.28419 	6.25318e-08 	1.4555e-06 	
1.07071 1.28414 	6.7572e-08 	2.0382e-06 	
1.09091 1.28409 	7.26121e-08 	2.62091e-06 	
1.11111 1.28403 	7.74596e-08 	3.19292e-06 	
1.13131 1.28394 	8.21543e-08 	3.75612e-06 	
1.15152 1.28386 	8.68067e-08 	4.31734e-06 	
1.17172 1.28375 	9.09519e-08 	4.8538e-06 	
1.19192 1.28363 	9.50971e-08 	5.39027e-06 	
1.21212 1.2835 	9.8215e-08 	5.90773e-06 	
1.23232 1.28335 	1.00648e-07 	6.41251e-06 	
1.25253 1.2832 	1.0281e-07 	6.91226e-06 	
1.27273 1.28302 	1.03067e-07 	7.37662e-06 	
1.29293 1.28284 	1.03323e-07 	7.84098e-06 	
1.31313 1.28263 	1.0282e-07 	8.26929e-06 	
1.33333 1.28242 	1.019e-07 	8.67817e-06 	
1.35354 1.2822 	1.01e-07 	9.07496e-06 	
1.37374 1.28195 	1.00141e-07 	9.4148e-06 	
1.39394 1.2817 	9.92819e-08 	9.75464e-06 	
1.41414 1.28142 	9.87073e-08 	1.00409e-05 	
1.43434 1.28113 	9.82348e-08 	1.03042e-05 	
1.45455 1.28084 	9.78753e-08 	1.05486e-05 	
1.47475 1.28051 	9.78266e-08 	1.0728e-05 	
1.49495 1.28018 	9.7778e-08 	1.09074e-05 	
1.51515 1.27982 	9.85065e-08 	1.10092e-05 	
1.53535 1.27945 	9.94679e-08 	1.10851e-05 	
1.55556 1.27905 	1.0059e-07 	1.10926e-05 	
1.57576 1.27861 	1.02067e-07 	1.09197e-05 	
1.59596 1.27816 	1.03544e-07 	1.07468e-05 	
1.61616 1.2776 	1.04575e-07 	1.00382e-05 	
1.63636 1.27701 	1.05473e-07 	9.19561e-06 	
1.65657 1.27631 	1.06126e-07 	8.14562e-06 	
1.67677 1.27537 	1.06235e-07 	6.66497e-06 	
1.69697 1.27443 	1.06343e-07 	5.18432e-06 	
1.71717 1.27267 	1.05452e-07 	2.80256e-06 	
1.73737 1.27076 	1.04379e-07 	2.61813e-07 	
1.75758 1.26779 	1.02916e-07 	-1.02221e-05 	
1.77778 1.26305 	1.00812e-07 	-3.39446e-05 	
