# Time	Cd	Cl	Cm
889.872809	1.885407777	-6.167478938e-06	-9.332768498
898.9060555	1.879163378	-7.3347354e-06	-9.301858722
907.9393021	1.873109629	-7.5888575e-06	-9.271892663
916.9725487	1.867240373	-6.435739517e-06	-9.242839848
926.0057953	1.861550205	-5.592579434e-06	-9.214673514
935.0390418	1.856028274	-5.437875634e-06	-9.187339957
944.0722884	1.850665735	-4.431400424e-06	-9.160795387
953.105535	1.845454876	-6.079280032e-06	-9.135001634
962.1387816	1.840443937	-1.10445957e-06	-9.110197489
971.1518646	1.835488734	-7.654650637e-06	-9.085669234
980.1649477	1.831437104	-6.439103867e-06	-9.065613664
989.1780308	1.827004047	-3.163782076e-06	-9.043670034
998.1911139	1.823241819	-1.925746107e-06	-9.025047005
1007.204197	1.819202445	-7.179632924e-06	-9.0050521
1016.21728	1.814692944	-7.359654559e-06	-8.982730072
1025.230363	1.810416383	-6.087982507e-06	-8.961561094
1034.243446	1.806460729	-4.746614003e-06	-8.941980608
1043.256529	1.802635025	-4.024559031e-06	-8.923043373
1052.269612	1.799013155	-8.454917664e-07	-8.905115116
1061.282695	1.795871541	-7.019892664e-06	-8.889564126
1070.295778	1.792950571	-6.601164296e-06	-8.875105325
1079.308862	1.791639263	-7.184560987e-06	-8.868614352
1088.321945	1.789968492	-5.275555297e-06	-8.860344037
1097.335028	1.790345548	-3.552444027e-06	-8.862210463
1106.348111	1.785544048	-3.359005306e-06	-8.838443036
1115.361194	1.780314159	-6.95370632e-06	-8.812555085
1124.374277	1.778205551	-7.113921574e-06	-8.802117477
1133.38736	1.776731802	-3.613419368e-06	-8.794822418
1142.400443	1.773884925	-4.39256151e-06	-8.78073038
1151.413526	1.769187068	-4.008470493e-06	-8.757475985
1160.426609	1.767285742	-5.065592108e-06	-8.748064422
1169.439692	1.765535299	-4.080436979e-06	-8.73939973
1178.452775	1.763900499	-4.215583126e-06	-8.731307472
1187.465858	1.762178466	-4.037710371e-06	-8.722783405
1196.478942	1.760228574	-5.104977822e-06	-8.713131439
1205.470717	1.757595055	-4.660118955e-06	-8.700095525
1214.462493	1.753772754	-1.870953898e-06	-8.681175134
1223.454268	1.753049875	-5.345751391e-06	-8.677596881
1232.446044	1.752345132	-3.49979521e-06	-8.674108402
1241.437819	1.75280449	-4.513522307e-06	-8.676382226
1250.429595	1.751882466	-4.927121948e-06	-8.671818207
1259.42137	1.753331692	-7.14754881e-06	-8.678991874
1268.413146	1.753576366	-3.937374804e-06	-8.680203014
1277.404922	1.749412262	-2.947881015e-06	-8.659590695
1286.396697	1.747135436	-5.777399493e-06	-8.648320407
1295.388473	1.746372524	-4.132453094e-06	-8.644543996
1304.380248	1.745551972	-3.643157334e-06	-8.640482262
1313.372024	1.744737315	-3.6889205e-06	-8.636449709
1322.363799	1.743941249	-4.517487036e-06	-8.632509181
1331.355575	1.743185419	-4.430686118e-06	-8.628767825
1340.34735	1.742565459	-3.262375791e-06	-8.625699023
1349.339126	1.741921408	-4.356834279e-06	-8.62251097
1358.330901	1.741355971	-3.833168533e-06	-8.619712054
1367.322677	1.740838996	-3.857012435e-06	-8.617153031
1376.314453	1.740391357	-3.718061085e-06	-8.61493722
1385.306228	1.740030784	-3.725079475e-06	-8.61315238
1394.298004	1.73981079	-3.661491786e-06	-8.61206341
1403.289779	1.739936992	-3.487530548e-06	-8.61268811
1412.281555	1.739052142	-4.182915718e-06	-8.608308103
1421.27333	1.737266133	-4.738241895e-06	-8.599467357
1430.265106	1.736370952	-3.829890178e-06	-8.595036213
1439.256881	1.736093378	-3.706207237e-06	-8.593662219
1448.248657	1.735711314	-3.715630588e-06	-8.591771003
1457.240433	1.735104886	-3.316321459e-06	-8.588769186
1466.232208	1.734173857	-5.435826511e-06	-8.584160594
1475.223984	1.736131238	-3.416331097e-06	-8.59384963
1484.192879	1.737006699	-4.120247258e-06	-8.59818316
1493.161775	1.737590495	-3.61970066e-06	-8.601072951
1502.130671	1.737946994	-3.356045892e-06	-8.602837621
1511.099567	1.738102879	-3.252998093e-06	-8.603609253
1520.068462	1.738171864	-3.115226654e-06	-8.603950725
1529.037358	1.738305414	-3.05598894e-06	-8.604611802
1538.006254	1.738479438	-4.669586079e-06	-8.60547322
1546.975149	1.737765886	-3.429600993e-06	-8.601941135
1555.944045	1.737741634	-3.743738181e-06	-8.601821089
1564.912941	1.737881449	-3.176764841e-06	-8.602513171
1573.881837	1.737903092	-3.221542419e-06	-8.602620306
1582.850732	1.738828281	-2.801418758e-06	-8.607199993
1591.819628	1.739721736	-3.107974653e-06	-8.611622595
1600.788524	1.740221019	-3.313121361e-06	-8.614094042
1609.757419	1.740522446	-3.383822915e-06	-8.615586107
