# Time	Cd	Cl	Cm
250007.278	2.280915308	1.111168589	-11.29053078
250014.5667	2.280106068	1.110232171	-11.28652504
250021.8553	2.27954785	1.108854495	-11.28376186
250029.1546	2.280136162	1.109444832	-11.286674
250036.454	2.279907284	1.109411101	-11.28554106
250043.7641	2.279899083	1.109192187	-11.28550046
250051.0741	2.278280344	1.108532652	-11.2774877
250058.3842	2.279556834	1.109269071	-11.28380633
250065.7051	2.279234467	1.108994774	-11.28221061
250073.026	2.278687759	1.108596443	-11.27950441
250080.3579	2.278156937	1.108213713	-11.27687684
250087.6897	2.278088953	1.108004148	-11.27654032
250095.0324	2.27739202	1.107650059	-11.2730905
250102.3752	2.277324211	1.107467307	-11.27275485
250109.718	2.27619656	1.105777245	-11.26717297
250117.0718	2.275064171	1.104479172	-11.26156764
250124.4256	2.273971657	1.10328156	-11.2561597
250131.7905	2.274249724	1.103313236	-11.25753613
250139.1554	2.273595625	1.102406549	-11.25429834
250146.5203	2.273220027	1.100687071	-11.25243914
250153.8964	2.272285526	1.099818269	-11.24781335
250161.2725	2.271032528	1.099075752	-11.24161101
250168.6599	2.269881209	1.097520576	-11.23591198
250176.0473	2.269581091	1.096321699	-11.2344264
250183.4346	2.268946214	1.094678473	-11.23128376
250190.8334	2.268831969	1.091905189	-11.23071824
250198.2321	2.26910852	1.089298959	-11.23208717
250205.6422	2.267655791	1.087224432	-11.22489616
250213.0524	2.267714821	1.086551978	-11.22518836
250220.474	2.266766455	1.084377511	-11.22049395
250227.8956	2.265288524	1.0817388	-11.21317819
250235.3172	2.26411011	1.079953838	-11.20734505
250242.7504	2.263183151	1.078012766	-11.2027566
250250.1836	2.261912039	1.075452993	-11.19646459
250257.6285	2.261482682	1.07406956	-11.19433928
250265.0733	2.260654932	1.072104458	-11.19024191
250272.5182	2.259702786	1.069978179	-11.18552879
250279.9748	2.258624285	1.067618755	-11.18019021
250287.4314	2.257708602	1.06553544	-11.17565758
250294.8998	2.25557069	1.062270446	-11.16507491
250302.3682	2.254609295	1.059263975	-11.16031601
250309.8485	2.25439707	1.057486994	-11.1592655
250317.3288	2.253551644	1.054892079	-11.15508064
250324.8091	2.2524329	1.052373846	-11.14954286
250332.3014	2.250934609	1.049545383	-11.14212631
250339.7937	2.250443864	1.047055425	-11.13969713
250347.2981	2.249504951	1.044522195	-11.13504951
250354.8024	2.248451334	1.040916121	-11.1298341
250362.3068	2.246937699	1.03709352	-11.12234161
250369.8233	2.245647509	1.03437989	-11.11595517
250377.3398	2.244855466	1.030939942	-11.11203456
250384.8686	2.244609684	1.028164756	-11.11081794
250392.3974	2.243182824	1.024747507	-11.10375498
250399.9261	2.24172963	1.020704704	-11.09656167
250407.4672	2.240930842	1.017383315	-11.09260767
250415.0083	2.239796139	1.013903414	-11.08699089
250422.5619	2.239348443	1.010997321	-11.08477479
250430.1154	2.23701078	1.007014079	-11.07320336
250437.6814	2.23488819	1.002010361	-11.06269654
250445.2475	2.234111118	0.9985224022	-11.05885003
250452.8135	2.232998227	0.9946628615	-11.05334122
250460.3921	2.23166564	0.9908521028	-11.04674492
250467.9708	2.230462049	0.986963977	-11.04078714
250475.5494	2.229102479	0.9828716329	-11.03405727
